,boat_id,Country,boat_type,year,Boat_Make,model,model_type,length_overall,yield_length,beam,draft,height,hull,engine,hp,weight,fuel_type,boat_image,active
130,4441,Sweden,Power,1998,Albin Marine,COMMAND BRIDGE 32 + 2,INBD,37,,12.25,,,FG,1,370.0,15000,Diesel,,
131,4442,Sweden,Power,1998,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,1,300.0,16000,Diesel,,
132,4443,Sweden,Power,1998,Albin Marine,EXPRESS TRAWLER,INBD,37,,12.75,,,FG,2,270.0,20000,Diesel,,
133,4444,Sweden,Power,1998,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,1,420.0,18000,Diesel,,
134,4445,Sweden,Power,1998,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,350.0,18000,Diesel,,
135,4446,Sweden,Power,1998,Albin Marine,SPORTFISH CONVERTIBLE,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
136,4447,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,1,420.0,16000,Diesel,,
137,4448,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,380.0,18000,Gasoline,,
138,4449,Sweden,Power,1998,Albin Marine,TOURNAMENT EXPRESS 35,INBD,37,,12.33333333,,,FG,2,300.0,18000,Diesel,,
139,4450,Sweden,Power,1997,Albin Marine,28 TOURNAMENT EX/SF,INBD,30,,10.0,,,FG,1,300.0,7500,Diesel,,
140,4451,Sweden,Power,1997,Albin Marine,31 TOURNAMENT EX/SF,INBD,33,,12.33333333,,,FG,1,300.0,14000,Diesel,,
141,4452,Sweden,Power,1997,Albin Marine,32 COMMAND BRIDGE/SF,INBD,34,,11.5,,,FG,1,300.0,11500,Diesel,,
142,4453,Sweden,Power,1997,Albin Marine,35 LS/SF,INBD,37,,12.33333333,,,FG,2,300.0,18000,Diesel,,
143,4454,Sweden,Power,1997,Albin Marine,35 SPORT FISH,INBD,37,,12.33333333,,,FG,2,300.0,18000,Diesel,,
144,4455,Sweden,Power,1997,Albin Marine,35 TOURNAMENT EX/SF,INBD,37,,10.5,,,FG,1,370.0,11109,Diesel,,
